Date,PG,KO,PEP,WMT,COST,MO,PM,MDLZ,KMB,CL,KHC,GIS,HSY,SYY,KR,TAP,STZ,EL,CPB,CHD
2020-01-01,,,,,,,,,,,,,,,,,,,,
2020-01-02,106.27323150634766,46.06641387939453,114.22039794921875,36.50810241699219,266.49755859375,31.078968048095703,63.332420349121094,47.26703643798828,111.16984558105469,59.147926330566406,23.75503158569336,42.385887145996094,125.08739471435547,72.51392364501953,25.22393035888672,46.54945373535156,170.53811645507812,190.65496826171875,39.68699645996094,65.22898864746094
2020-01-03,105.5584945678711,45.81507873535156,114.06060791015625,36.185813903808594,266.7170104980469,31.318761825561523,63.21345520019531,47.18872833251953,111.13707733154297,59.06110382080078,23.476974487304688,42.23141098022461,126.21692657470703,72.2484130859375,25.25913429260254,46.41033935546875,171.65203857421875,189.21298217773438,39.63788604736328,65.45255279541016
2020-01-06,105.70488739013672,45.798336029052734,114.49788665771484,36.11214065551758,266.7900695800781,31.444969177246094,63.94945526123047,47.11042785644531,111.38264465332031,59.46918487548828,23.529579162597656,42.759910583496094,125.61737823486328,72.15418243408203,25.347150802612305,47.49713134765625,172.44000244140625,191.67176818847656,39.70337677001953,65.70403289794922
2020-01-07,105.05042266845703,45.44648742675781,112.69824981689453,35.77757263183594,266.3694763183594,31.280906677246094,64.23196411132812,46.910335540771484,111.28440856933594,58.65300750732422,23.11625099182129,42.46720886230469,125.86070251464844,71.5717544555664,25.162322998046875,47.37541198730469,166.2814178466797,190.46083068847656,39.72810745239258,65.0706558227539
2020-01-08,105.49822235107422,45.5302734375,113.27852630615234,35.654788970947266,269.4232177734375,31.602731704711914,65.451171875,47.0234375,112.3647689819336,60.14645767211914,22.988494873046875,43.07701110839844,126.89469909667969,72.40258026123047,25.01270866394043,47.836204528808594,172.34036254882812,192.0045166015625,39.03560256958008,64.4838638305664
2020-01-09,106.65214538574219,46.35961151123047,113.35419464111328,36.023128509521484,273.7477111816406,31.91194725036621,65.62957000732422,47.145225524902344,114.14079284667969,60.65875244140625,22.980981826782227,42.98674392700195,127.35523223876953,72.48822784423828,25.030303955078125,47.78404235839844,175.32904052734375,195.92372131347656,39.25818634033203,64.96820831298828
2020-01-10,106.7554702758789,46.51877975463867,113.13553619384766,35.722312927246094,271.7545166015625,31.691085815429688,65.01997375488281,47.19743728637695,114.77101135253906,60.91054916381836,23.071163177490234,42.88005447387695,128.71070861816406,72.73663330078125,24.95989990234375,47.87967300415039,170.61053466796875,195.60943603515625,39.348880767822266,65.29419708251953
2020-01-13,107.53911590576172,47.02141571044922,114.8174819946289,35.56885528564453,274.15899658203125,32.0318489074707,65.2876205444336,47.49323654174805,115.3193588256836,60.90187454223633,23.41685676574707,43.54480743408203,130.0662078857422,71.70878601074219,25.01270866394043,48.157901763916016,170.6648712158203,197.31948852539062,39.34062576293945,65.96485137939453
2020-01-14,107.37549591064453,46.91250991821289,115.08659362792969,35.66092300415039,274.04931640625,32.10125732421875,65.10917663574219,47.145225524902344,115.39300537109375,61.03211975097656,23.845212936401367,43.49556350708008,129.31893920898438,70.57816314697266,25.382349014282227,48.6447868347168,172.82943725585938,199.3807830810547,39.192256927490234,66.29086303710938
2020-01-15,108.4691390991211,47.49891662597656,117.0628662109375,35.384681701660156,275.027587890625,32.341060638427734,65.65933227539062,47.62372970581055,116.35061645507812,61.47494125366211,23.747514724731445,43.79920959472656,129.04090881347656,70.79231262207031,24.898292541503906,48.61870193481445,172.84756469726562,201.95973205566406,39.39009094238281,66.91490936279297
2020-01-16,108.56388854980469,47.599449157714844,117.40766143798828,35.57498550415039,277.04803466796875,32.24009704589844,65.83776092529297,48.01522445678711,117.3899917602539,61.43152618408203,23.845212936401367,44.08645248413086,129.44058227539062,70.8008804321289,24.71346664428711,49.183841705322266,172.8566436767578,201.4512939453125,39.645660400390625,66.76588439941406
2020-01-17,108.85664367675781,47.69996643066406,118.79524993896484,35.286460876464844,278.5565185546875,32.195919036865234,65.93437957763672,47.9891357421875,118.2657699584961,61.804893493652344,23.31915855407715,44.1931266784668,131.0741424560547,70.93791961669922,24.77507781982422,49.183841705322266,172.0324249267578,203.2445526123047,39.587947845458984,67.0639419555664
2020-01-20,,,,,,,,,,,,,,,,,,,,
2020-01-21,108.58108520507812,47.89265060424805,119.29981994628906,35.479835510253906,286.4010314941406,32.24009704589844,66.0682144165039,48.31973648071289,118.33943176269531,61.90039825439453,23.30412483215332,44.59526443481445,132.79452514648438,71.28910064697266,25.0039005279541,49.12297821044922,172.2860565185547,201.25718688964844,40.03313446044922,67.52967834472656
2020-01-22,108.77053833007812,48.26124572753906,120.5781021118164,35.63637161254883,285.14849853515625,32.20222473144531,66.1500015258789,48.25883483886719,118.17574310302734,61.612144470214844,23.048622131347656,44.29981994628906,132.45565795898438,71.21199798583984,24.968698501586914,49.10558319091797,173.83474731445312,196.5523223876953,40.041378021240234,67.26886749267578
2020-01-23,108.2733154296875,48.4455451965332,120.80519104003906,35.547359466552734,286.0535583496094,31.905630111694336,64.73748016357422,48.232730865478516,118.38853454589844,61.68202590942383,23.056137084960938,44.51319885253906,133.66343688964844,71.59744262695312,25.030303955078125,49.331642150878906,175.67324829101562,193.06753540039062,40.36289978027344,66.1138916015625
2020-01-24,108.40324401855469,48.319889068603516,120.19125366210938,35.105350494384766,283.8868103027344,31.71000862121582,64.04608917236328,47.92823028564453,117.3818130493164,61.411216735839844,22.853225708007812,44.07823944091797,134.40200805664062,70.7751693725586,24.810283660888672,48.7925910949707,173.49057006835938,189.80458068847656,40.222747802734375,66.4212417602539
