Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,132.87489318847656,163.4508514404297,150.3669891357422,57.89774703979492,341.9652099609375,323.452880859375,83.53841400146484,331.34857177734375,120.6824951171875,158.77490234375,67.76451110839844,86.27600860595703,192.68846130371094,155.0063018798828,91.94862365722656,139.5157928466797,154.42807006835938,57.0422477722168,51.04872131347656,160.49281311035156,173.9999542236328,22.509977340698242,352.86236572265625,185.1208038330078,
2020-01-03,131.0300750732422,162.2401580810547,148.76174926757812,58.09186935424805,354.2696838378906,341.0121765136719,83.65296936035156,330.7919006347656,119.6432876586914,156.52894592285156,66.83743286132812,85.63703918457031,189.97866821289062,156.52659606933594,91.89351654052734,137.78868103027344,152.26646423339844,56.09540939331055,50.592594146728516,159.35694885253906,173.68170166015625,22.417715072631836,350.7946472167969,182.420166015625,
2020-01-06,130.9417724609375,163.4046173095703,147.63894653320312,58.916908264160156,353.7302551269531,341.7578430175781,83.83297729492188,331.7660827636719,119.75728607177734,156.03079223632812,67.38841247558594,85.79905700683594,190.0613250732422,158.1858367919922,91.484130859375,137.8966522216797,149.95851135253906,55.70893859863281,50.38779830932617,157.9921417236328,173.23072814941406,22.300844192504883,347.4898681640625,183.86947631835938,
2020-01-07,129.21165466308594,160.56739807128906,147.7221221923828,58.48012924194336,354.9204406738281,340.975830078125,83.56571197509766,335.28515625,119.27455139160156,155.392822265625,67.55460357666016,85.34907531738281,189.67552185058594,156.38755798339844,91.32667541503906,139.2459259033203,150.0704803466797,55.660640716552734,50.53675079345703,156.7946319580078,173.92039489746094,22.451547622680664,349.2581481933594,183.4913787841797,
2020-01-08,130.3591766357422,162.56361389160156,147.84689331054688,57.94626998901367,351.94921875,336.7200012207031,83.69115447998047,329.41009521484375,121.10490417480469,156.20555114746094,67.79073333740234,85.61003112792969,189.8041534423828,156.78721618652344,91.84627532958984,141.34182739257812,150.1479949951172,56.858673095703125,50.6112174987793,158.51165771484375,174.7337646484375,22.568416595458984,353.0736999511719,184.88671875,
2020-01-09,130.0325927734375,164.134765625,148.93643188476562,57.80068588256836,355.2886047363281,338.6023864746094,83.81663513183594,334.3507080078125,121.4870834350586,156.98336791992188,68.04436492919922,85.66405487060547,190.2633819580078,157.76889038085938,92.05885314941406,142.1693878173828,149.43321228027344,56.9649543762207,50.546051025390625,157.7015380859375,175.32615661621094,22.679134368896484,358.14422607421875,186.4981231689453,
2020-01-10,128.99102783203125,160.28086853027344,148.61204528808594,56.635929107666016,354.3467712402344,340.4483337402344,82.84017944335938,327.96868896484375,120.99758911132812,155.7686004638672,67.29222106933594,85.47505950927734,188.591552734375,155.94454956054688,91.22431945800781,140.89205932617188,147.63328552246094,57.23548126220703,50.21094512939453,156.68016052246094,174.66307067871094,22.562267303466797,358.3765869140625,184.62567138671875,
2020-01-13,129.6000213623047,161.49154663085938,150.76622009277344,58.8198356628418,358.79071044921875,342.6672058105469,82.94383239746094,328.26690673828125,121.2993392944336,157.14942932128906,67.68577575683594,85.36707305908203,191.1360626220703,157.3518829345703,91.9171371459961,143.2758026123047,148.54615783691406,57.47702407836914,50.257484436035156,158.40599060058594,177.0767822265625,22.971309661865234,361.99554443359375,185.9669952392578,
2020-01-14,129.47647094726562,160.50267028808594,150.08419799804688,58.383060455322266,356.32464599609375,340.7030029296875,82.66560363769531,330.3843078613281,121.60102844238281,156.11814880371094,67.23095703125,84.68312072753906,189.9235076904297,157.21287536621094,92.32653045654297,145.83946228027344,148.46865844726562,59.37070083618164,50.72291564941406,159.19845581054688,178.3323211669922,22.962085723876953,360.55377197265625,182.65420532226562,
2020-01-15,128.49667358398438,159.80955505371094,150.3170928955078,57.6065673828125,360.443359375,345.78619384765625,82.89472198486328,327.8493957519531,120.53497314453125,155.9171905517578,67.04731750488281,84.50313568115234,188.61917114257812,157.76889038085938,92.84615325927734,143.1588897705078,148.64952087402344,59.534950256347656,51.225582122802734,159.19845581054688,179.3843994140625,23.06358528137207,361.4537658691406,182.05105590820312,
2020-01-16,130.5269012451172,162.1662139892578,151.58961486816406,57.460975646972656,364.5104675292969,348.9870300292969,83.7620620727539,330.036376953125,121.3596420288086,157.1231689453125,68.10560607910156,85.33106231689453,190.8329315185547,159.35009765625,93.38152313232422,143.5096435546875,150.93165588378906,59.78614807128906,51.4769172668457,161.92807006835938,182.3551483154297,23.6018009185791,363.5534973144531,184.77871704101562,
2020-01-17,131.36251831054688,162.84091186523438,152.39639282226562,57.315372467041016,364.476318359375,345.5224914550781,84.22574615478516,322.2328186035156,121.5876235961914,157.68251037597656,68.02686309814453,86.10501861572266,190.1439666748047,158.9045867919922,93.3736343383789,143.90545654296875,149.67431640625,59.93107223510742,51.206966400146484,163.1784210205078,185.06942749023438,23.497234344482422,367.4629211425781,184.3106231689453,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,129.64691162109375,159.47686767578125,150.48338317871094,56.58740234375,364.8959045410156,343.8493347167969,84.26392364501953,311.5165710449219,120.27355194091797,155.4539794921875,67.5633316040039,85.06108856201172,185.5971221923828,160.1276397705078,92.42101287841797,141.70167541503906,147.3233184814453,58.29826736450195,49.838592529296875,160.66014099121094,180.91397094726562,23.014373779296875,366.03070068359375,181.65496826171875,
