Date,AAPL,MSFT,NVDA,AVGO,AMD,INTC,QCOM,TXN,MU,ORCL,CRM,NOW,SNOW,PANW,ANET,ADBE,SHOP,SAP,ASML,TSM,LRCX,KLAC,AMAT,ADI,NXPI,INTU,CDNS,CRWD,ZS,MDB
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.46825408935547,152.50570678710938,5.971409320831299,27.78862190246582,49.099998474121094,53.666473388671875,78.04310607910156,109.19601440429688,54.065677642822266,49.451602935791016,165.25167846679688,291.239990234375,,39.23500061035156,12.795000076293945,334.42999267578125,40.78099822998047,124.09796142578125,286.9031677246094,53.92487335205078,27.794620513916016,169.92198181152344,58.77266311645508,108.51106262207031,116.7771224975586,255.99415588378906,71.44000244140625,49.439998626708984,47.33000183105469,134.3300018310547
2020-01-03,71.76372528076172,150.60671997070312,5.875833511352539,27.081817626953125,48.599998474121094,53.013710021972656,76.5735855102539,107.74646759033203,53.22623825073242,49.2774543762207,164.44021606445312,291.1000061035156,,39.4716682434082,12.553125381469727,331.80999755859375,40.42900085449219,121.53092956542969,282.2798156738281,52.14653396606445,27.496042251586914,166.6737823486328,57.83721923828125,106.60088348388672,115.6506118774414,254.28213500976562,70.41999816894531,50.75,47.380001068115234,135.2899932861328
2020-01-06,72.3355712890625,150.9960174560547,5.900472640991211,27.041309356689453,48.38999938964844,52.8637580871582,76.12480163574219,106.99641418457031,52.28919982910156,49.534114837646484,171.64443969726562,292.8699951171875,,40.043331146240234,12.678750038146973,333.7099914550781,41.33300018310547,121.73046875,280.0343933105469,51.54478073120117,26.982860565185547,162.9229736328125,56.58995819091797,105.34844970703125,114.83296966552734,256.2345886230469,70.8499984741211,55.11000061035156,48.70000076293945,140.5
2020-01-07,71.99537658691406,149.61924743652344,5.971907615661621,26.948213577270508,48.25,51.98167037963867,78.28951263427734,109.0611801147461,56.876827239990234,49.64411163330078,174.16790771484375,292.9100036621094,,40.27333450317383,12.803125381469727,333.3900146484375,41.45000076293945,121.20435333251953,283.0757141113281,52.38004684448242,27.640663146972656,164.21670532226562,58.22462844848633,107.74520111083984,116.32288360595703,256.292236328125,71.06999969482422,54.75,48.400001525878906,138.86000061035156
2020-01-08,73.15350341796875,152.00242614746094,5.983108043670654,26.61205291748047,47.83000183105469,52.0169563293457,78.06070709228516,109.35614776611328,56.14474868774414,49.83745193481445,175.48406982421875,295.6499938964844,,39.76166534423828,12.936249732971191,337.8699951171875,41.810001373291016,122.52870178222656,286.01263427734375,52.766258239746094,27.988691329956055,164.4307098388672,58.18683624267578,108.71830749511719,116.61359405517578,262.45751953125,72.27999877929688,55.65999984741211,50.75,140.27000427246094
2020-01-09,74.70733642578125,153.90142822265625,6.0488200187683105,26.398283004760742,48.970001220703125,52.30804443359375,79.11665344238281,110.67926788330078,55.939781188964844,50.067630767822266,177.73043823242188,299.30999755859375,,40.01166534423828,12.925000190734863,340.45001220703125,43.02000045776367,124.38822937011719,285.5294189453125,53.19735336303711,27.798349380493164,163.3324737548828,58.55534362792969,108.71830749511719,117.3585433959961,264.91485595703125,73.36000061035156,55.939998626708984,54.0,149.9600067138672
2020-01-10,74.87622833251953,153.18936157226562,6.081175804138184,25.79146957397461,48.16999816894531,51.99049758911133,79.42465209960938,109.55839538574219,55.31508255004883,50.132080078125,178.32418823242188,298.8800048828125,,39.64500045776367,12.9662504196167,339.80999755859375,42.91699981689453,124.25216674804688,280.6029968261719,52.865047454833984,27.463380813598633,161.02426147460938,58.08289337158203,106.83515167236328,117.77645874023438,265.2521057128906,73.02999877929688,57.20000076293945,55.0,149.22999572753906
2020-01-13,76.47590637207031,155.0313262939453,6.2718353271484375,25.960411071777344,48.75,52.56385803222656,80.04942321777344,109.51627349853516,56.07643127441406,50.25177001953125,181.93618774414062,303.8500061035156,,40.1533317565918,13.196874618530273,345.6300048828125,44.025001525878906,125.47673034667969,285.5958557128906,53.94282913208008,27.738636016845703,162.96951293945312,58.40415573120117,107.27666473388672,119.90233612060547,266.0134582519531,73.38999938964844,58.970001220703125,59.619998931884766,152.91000366210938
2020-01-14,75.4432373046875,153.9394073486328,6.15485143661499,26.563783645629883,48.209999084472656,52.42271423339844,79.68862915039062,110.123046875,56.14474868774414,50.527976989746094,180.22421264648438,301.5,,40.0,13.315625190734863,344.6300048828125,44.12200164794922,124.49708557128906,286.637939453125,54.17634963989258,28.062402725219727,165.18458557128906,58.91440963745117,107.70013427734375,120.56550598144531,262.7755432128906,72.61000061035156,59.2400016784668,59.540000915527344,152.8300018310547
2020-01-15,75.11991119384766,154.93634033203125,6.112288475036621,26.12935447692871,48.54999923706055,51.99049758911133,78.90546417236328,108.85891723632812,54.82703399658203,50.41748809814453,179.17523193359375,304.8699951171875,,40.116668701171875,13.336874961853027,342.94000244140625,44.85100173950195,123.72604370117188,284.29779052734375,52.44292068481445,27.836605072021484,165.59413146972656,58.517539978027344,105.88005065917969,120.37474822998047,263.08392333984375,71.94000244140625,60.25,59.9900016784668,152.3800048828125
2020-01-16,76.06092071533203,157.7753143310547,6.195919513702393,26.46638298034668,49.77000045776367,52.6255989074707,80.77098846435547,109.69325256347656,56.30093002319336,51.03435134887695,180.7882537841797,310.0199890136719,,40.543331146240234,13.703125,345.3800048828125,45.130001068115234,124.53335571289062,285.2452087402344,52.766258239746094,28.54665756225586,168.3769989013672,59.72701644897461,107.33973693847656,121.90099334716797,266.8132629394531,73.05999755859375,62.2400016784668,61.81999969482422,151.89999389648438
