Date,JPM,BAC,C,WFC,GS,MS,BLK,BK,STT,TROW,SCHW,AXP,COF,USB,PNC,TFC,CMA,MTB,RF,CB,TRV,AIG,MET,PRU
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,119.57337951660156,30.92033576965332,65.31098937988281,46.052398681640625,204.18991088867188,43.06968307495117,442.33953857421875,42.67695999145508,66.9825210571289,98.68301391601562,44.36982727050781,116.6385726928711,93.46195220947266,46.15003967285156,128.53456115722656,42.93980407714844,53.76653289794922,141.7380828857422,13.495859146118164,141.75938415527344,121.52922821044922,44.51792907714844,42.202125549316406,70.03125
2020-01-03,117.99541473388672,30.27833366394043,64.080810546875,45.7696647644043,201.80221557617188,42.37448501586914,437.6378479003906,42.13218688964844,65.99551391601562,98.3597640991211,43.247467041015625,115.48005676269531,92.00965881347656,45.61214065551758,127.3002700805664,42.58369064331055,52.949737548828125,140.2881317138672,13.243158340454102,141.5413055419922,121.09619903564453,44.173912048339844,41.76882553100586,68.86454772949219
2020-01-06,117.90157318115234,30.234939575195312,63.87981414794922,45.49549102783203,203.8674774169922,42.22551345825195,438.01153564453125,42.526100158691406,67.00738525390625,98.96685028076172,43.55105209350586,114.97960662841797,91.17977142333984,44.98849868774414,127.04378509521484,42.22754669189453,52.177894592285156,139.128173828125,13.09311580657959,142.70431518554688,121.22871398925781,44.20830154418945,41.654354095458984,69.03439331054688
2020-01-07,115.89720916748047,30.0354061126709,63.325042724609375,45.11849594116211,205.2094268798828,42.14274978637695,440.8099365234375,42.95353317260742,67.93633270263672,99.36109161376953,43.80864334106445,114.37716674804688,90.27771759033203,44.55974197387695,126.0419692993164,42.04570007324219,51.83317947387695,137.4462127685547,12.911490440368652,139.85128784179688,119.45233154296875,43.95888137817383,41.93233871459961,68.96054077148438
2020-01-08,116.80133819580078,30.339048385620117,63.80747985839844,45.255592346191406,207.18756103515625,42.680702209472656,440.7057189941406,43.003822326660156,67.5879898071289,100.30725860595703,44.075435638427734,116.35128021240234,91.23390197753906,44.4661865234375,127.34835815429688,42.136634826660156,52.215362548828125,138.14219665527344,12.990458488464355,138.8972930908203,120.73384094238281,44.47493362426758,42.37381362915039,69.40359497070312
2020-01-09,117.22779083251953,30.3911075592041,64.38636779785156,45.1784782409668,211.4051971435547,43.08624267578125,445.9201354980469,43.14630889892578,68.7740249633789,101.14299774169922,44.25942611694336,118.45511627197266,92.46968078613281,44.481781005859375,128.88717651367188,42.56853103637695,52.32777404785156,138.58131408691406,13.069426536560059,139.87860107421875,121.62643432617188,44.96518325805664,42.81529235839844,69.9278793334961
2020-01-10,116.05928039550781,30.139514923095703,63.719017028808594,44.98141860961914,210.9781951904297,43.21038818359375,445.1206359863281,42.358482360839844,67.75384521484375,100.49645233154297,43.97422790527344,117.96392059326172,91.6037368774414,44.17774200439453,127.09188079833984,42.40183639526367,51.27116775512695,137.52906799316406,12.911490440368652,137.18911743164062,119.76167297363281,44.75016784667969,42.89704895019531,69.71375274658203
2020-01-13,117.0230712890625,30.41714096069336,64.84463500976562,44.647274017333984,213.67959594726562,43.68213653564453,454.6195373535156,42.64344024658203,68.07733154296875,103.3112564086914,44.176631927490234,119.13167572021484,91.92848205566406,44.20893096923828,127.7891616821289,42.59883499145508,51.51845932006836,138.2416534423828,12.982559204101562,137.10739135742188,120.42449951171875,45.257606506347656,42.98698043823242,70.20108032226562
2020-01-14,118.38774871826172,30.6427059173584,65.85772705078125,42.239681243896484,214.0717315673828,43.748348236083984,450.4566650390625,42.75238800048828,67.62116241455078,102.28626251220703,43.89143371582031,119.37264251708984,92.51481628417969,44.115386962890625,128.1417999267578,42.70491409301758,51.66832733154297,138.01797485351562,13.022045135498047,136.98016357421875,120.76919555664062,45.01678466796875,42.66813659667969,70.09772491455078
2020-01-15,116.61368560791016,30.07877540588379,65.31903076171875,41.40003967285156,213.67959594726562,43.8145637512207,460.83331298828125,42.48419952392578,67.35575103759766,102.6174087524414,43.34866714477539,120.31798553466797,92.31633758544922,42.85248565673828,123.49319458007812,41.77293395996094,50.19209289550781,134.7368927001953,12.879898071289062,137.46170043945312,121.582275390625,44.53514099121094,42.390167236328125,69.64727783203125
2020-01-16,117.06573486328125,30.122159957885742,65.12604522705078,42.19684600830078,217.60968017578125,46.71124267578125,464.9527282714844,39.156856536865234,67.29769897460938,104.09182739257812,45.07817459106445,120.99459075927734,92.83953094482422,43.02399826049805,123.24287414550781,42.32606506347656,51.13627624511719,135.83888244628906,13.148395538330078,138.70652770996094,122.71353149414062,45.03398895263672,42.67630386352539,70.43737030029297
2020-01-17,117.87600708007812,30.113481521606445,65.2225341796875,42.13687515258789,217.38311767578125,47.5968132019043,465.1612548828125,38.70428466796875,68.4754409790039,104.28105163574219,44.47101593017578,121.89356994628906,93.9310302734375,43.148719787597656,123.84042358398438,42.651878356933594,51.49597930908203,135.07659912109375,12.943075180053711,139.64231872558594,124.3750228881836,45.498435974121094,43.01151657104492,71.7000732421875
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,116.71601867675781,29.723068237304688,64.24162292480469,41.931243896484375,214.10659790039062,46.28089141845703,459.86004638671875,39.20714569091797,67.43869018554688,104.31258392333984,44.57221221923828,120.97600555419922,92.18106079101562,42.423728942871094,122.45957946777344,42.6442985534668,49.69002151489258,133.3698272705078,12.832518577575684,138.77915954589844,124.53410339355469,44.44053649902344,42.31658935546875,70.5112075805664
