Date,NEE,DUK,SO,D,AEP,EXC,SRE,XEL
2020-01-01,,,,,,,,
2020-01-02,51.434288024902344,71.15245819091797,49.67005157470703,63.82026672363281,75.3581771850586,26.149564743041992,61.758689880371094,52.26438522338867
2020-01-03,51.800743103027344,71.19976043701172,49.62245178222656,63.66454315185547,75.27754974365234,26.230146408081055,61.19545364379883,52.51573181152344
2020-01-06,52.05939483642578,71.54627227783203,49.820762634277344,64.15508270263672,75.52749633789062,26.270442962646484,61.7089958190918,52.440330505371094
2020-01-07,52.01413345336914,71.09733581542969,49.67005157470703,64.01493072509766,75.54364013671875,26.293468475341797,61.6592903137207,52.33140563964844
2020-01-08,51.990421295166016,71.19976043701172,49.65418243408203,63.61002731323242,75.31787109375,26.483407974243164,62.08173751831055,52.28114318847656
2020-01-09,52.39781188964844,71.37300872802734,50.17769241333008,63.78910446166992,75.69683074951172,26.563995361328125,61.63446044921875,52.39844512939453
2020-01-10,52.49696350097656,71.23123931884766,50.49496841430664,63.9058952331543,76.06774139404297,26.6273136138916,62.02376937866211,52.48223114013672
2020-01-13,53.11127853393555,71.86133575439453,51.192989349365234,63.890342712402344,76.30157470703125,26.587024688720703,62.607723236083984,53.093841552734375
2020-01-14,53.397945404052734,71.90858459472656,51.49440002441406,63.812469482421875,76.58378601074219,26.36829376220703,62.62843322753906,53.1776237487793
2020-01-15,54.22781753540039,72.84583282470703,52.017913818359375,64.6222915649414,77.8900146484375,26.794240951538086,63.837745666503906,54.01546859741211
2020-01-16,54.376548767089844,73.38926696777344,52.47003173828125,65.0271987915039,78.46249389648438,26.90360450744629,64.26846313476562,54.48465347290039
2020-01-17,54.620121002197266,73.8145980834961,53.3504753112793,65.44768524169922,79.47039031982422,27.277738571166992,65.1050796508789,54.7695198059082
2020-01-20,,,,,,,,
2020-01-21,55.37237548828125,74.65733337402344,54.03263854980469,65.4321060180664,80.09931945800781,27.387104034423828,65.4198226928711,55.29735565185547
2020-01-22,56.02118682861328,75.06686401367188,54.175411224365234,65.1673583984375,80.63148498535156,27.433156967163086,65.25003051757812,55.48167419433594
2020-01-23,56.05998611450195,75.67334747314453,54.69891357421875,65.46327209472656,81.41361236572266,27.600078582763672,66.28955078125,56.05140686035156
2020-01-24,56.84458541870117,75.83087158203125,55.07966613769531,65.40874481201172,82.37312316894531,27.473451614379883,66.1653060913086,56.27763366699219
2020-01-27,57.49553298950195,75.68910217285156,55.3176155090332,64.8792495727539,82.06670379638672,27.20867347717285,65.66004180908203,56.06816482543945
2020-01-28,57.29507827758789,75.77574157714844,55.56351089477539,65.81367492675781,82.39730834960938,27.473451614379883,66.19015502929688,56.31951904296875
2020-01-29,57.28431701660156,76.20103454589844,55.60317611694336,66.49111938476562,82.897216796875,27.519493103027344,65.71800231933594,56.48709487915039
2020-01-30,58.18315124511719,76.76809692382812,56.19805145263672,67.33985900878906,83.9373779296875,27.66339683532715,66.73270416259766,57.60980224609375
2020-01-31,57.81025314331055,76.89412689208984,55.84114074707031,66.77143096923828,84.03413391113281,27.392864227294922,66.5297622680664,57.970069885253906
2020-02-03,57.51063537597656,76.9256362915039,56.07907485961914,66.84150695800781,84.03413391113281,27.743976593017578,66.70368957519531,58.187896728515625
2020-02-04,57.021331787109375,76.08290100097656,55.15898132324219,65.84480285644531,82.94560241699219,27.680662155151367,65.838134765625,58.06224060058594
2020-02-05,57.48906707763672,76.50821685791016,54.75444030761719,66.1251449584961,82.34086608886719,27.818805694580078,65.87124633789062,58.06224060058594
2020-02-06,57.8382682800293,76.34281921386719,54.60373306274414,66.39767456054688,82.44569396972656,27.77851676940918,66.4718017578125,58.06224060058594
2020-02-07,58.09907913208008,75.82300567626953,54.238868713378906,66.03949737548828,82.27518463134766,27.73822593688965,65.68074798583984,57.56792068481445
