Date,GOOGL,META,DIS,NFLX,VZ,T,TMUS,CMCSA,CHTR,EA,TTWO
2020-01-01,,,,,,,,,,,
2020-01-02,67.9652328491211,208.4947052001953,145.76991271972656,32.98099899291992,43.349491119384766,19.206361770629883,75.92626953125,38.59205627441406,490.42999267578125,104.46369171142578,122.08000183105469
2020-01-03,67.60968017578125,207.39149475097656,144.0977783203125,32.59000015258789,42.887943267822266,19.30521011352539,75.52049255371094,38.285850524902344,494.4700012207031,104.32744598388672,122.20999908447266
2020-01-06,69.4117660522461,211.29742431640625,143.26171875,33.58300018310547,42.7956428527832,19.32497787475586,75.95524597167969,37.99665069580078,497.45001220703125,105.86509704589844,124.69000244140625
2020-01-07,69.2776870727539,211.75460815429688,143.31089782714844,33.07500076293945,42.319889068603516,19.39911460876465,76.24506378173828,38.3983154296875,499.1600036621094,105.48555755615234,125.51000213623047
2020-01-08,69.77078247070312,213.90135192871094,143.01580810546875,33.92599868774414,42.39799499511719,19.45842742919922,76.72813415527344,38.79145431518555,500.7699890136719,106.55608367919922,127.81999969482422
2020-01-09,70.50322723388672,216.96249389648438,142.45516967773438,33.566001892089844,42.22222137451172,19.51802635192871,77.10489654541016,38.89399337768555,507.2799987792969,106.42955017089844,128.02000427246094
2020-01-10,70.9585952758789,216.7239532470703,142.2486114501953,32.904998779296875,42.32266616821289,19.402324676513672,76.32235717773438,38.44104766845703,505.0299987792969,105.68020629882812,126.76000213623047
2020-01-13,71.50830078125,220.55038452148438,141.520751953125,33.891998291015625,42.43746566772461,19.165889739990234,76.70880889892578,39.1418342590332,510.1499938964844,106.87722778320312,128.4499969482422
2020-01-14,71.03954315185547,217.71783447265625,142.819091796875,33.86899948120117,42.35854721069336,19.160863876342773,77.09525299072266,39.33840560913086,509.6199951171875,106.6436538696289,126.93000030517578
2020-01-15,71.46707916259766,219.79501342773438,141.95352172851562,33.90700149536133,42.40159225463867,19.05019760131836,77.54930114746094,39.552059173583984,515.4000244140625,106.6728515625,126.61000061035156
2020-01-16,72.01133728027344,220.41122436523438,142.74041748046875,33.86199951171875,42.8105354309082,19.13068389892578,78.6796646118164,40.05629348754883,508.7799987792969,108.27864074707031,127.63999938964844
2020-01-17,73.46926879882812,220.77894592285156,141.96336364746094,33.96699905395508,43.14056396484375,19.306747436523438,79.3656005859375,40.594696044921875,502.7300109863281,109.90388488769531,130.00999450683594
2020-01-20,,,,,,,,,,,
2020-01-21,73.60485076904297,220.083251953125,141.20599365234375,33.81100082397461,43.276885986328125,19.37717056274414,79.2496566772461,40.42377853393555,503.5899963378906,109.3978500366211,130.38999938964844
2020-01-22,73.6852798461914,219.96397399902344,141.64862060546875,32.599998474121094,43.39167785644531,19.638750076293945,79.6940689086914,40.543418884277344,510.5,110.05960083007812,130.11000061035156
2020-01-23,73.72599029541016,218.4135284423828,139.8682861328125,34.959999084472656,43.41320037841797,19.43250846862793,79.39456939697266,39.013641357421875,513.1400146484375,110.43917083740234,129.07000732421875
2020-01-24,72.80635070800781,216.60470581054688,137.78306579589844,35.316001892089844,43.24819564819336,19.367111206054688,78.8149185180664,38.10774230957031,504.6700134277344,109.31997680664062,125.27999877929688
2020-01-27,71.09613800048828,213.55349731445312,133.67160034179688,34.28799819946289,42.98273468017578,19.241352081298828,77.98405456542969,37.60350799560547,504.0799865722656,107.597412109375,123.06999969482422
2020-01-28,72.02821350097656,216.4556121826172,136.10108947753906,34.85200119018555,43.549522399902344,19.407358169555664,78.89220428466797,37.6377067565918,499.3399963378906,108.9014892578125,125.97000122070312
2020-01-29,72.33609771728516,221.86227416992188,133.8289794921875,34.316001892089844,42.71010208129883,18.6377010345459,77.53966522216797,37.02237319946289,490.739990234375,109.20319366455078,125.91000366210938
2020-01-30,72.21442413330078,208.2462158203125,135.55029296875,34.77399826049805,42.58812713623047,18.828853607177734,78.19660186767578,37.72316360473633,492.9800109863281,108.6484603881836,127.43000030517578
2020-01-31,71.14828491210938,200.6728973388672,136.04208374023438,34.50899887084961,42.64552688598633,18.924434661865234,76.50592041015625,36.9112663269043,517.4600219726562,105.02812957763672,124.63999938964844
2020-02-03,73.62222290039062,202.93894958496094,139.0027313232422,35.79999923706055,41.64826583862305,18.592426300048828,76.76677703857422,36.458316802978516,532.0499877929688,102.22532653808594,124.3499984741211
