Date,JNJ,PFE,MRK,ABBV,LLY,BMY,GILD,AMGN,MDT,SYK,ISRG,DHR,TMO,UNH,HUM,CI,HCA,CVS,ZBH,REGN
2020-01-01,,,,,,,,,,,,,,,,,,,,
2020-01-02,123.29019927978516,27.955411911010742,73.24810791015625,69.8234634399414,122.9980697631836,50.9348030090332,52.07666778564453,199.607421875,97.06975555419922,197.91116333007812,199.086669921875,134.15255737304688,321.580078125,267.0263671875,345.77764892578125,188.50340270996094,140.66934204101562,61.12641525268555,138.31663513183594,371.2908020019531
2020-01-03,121.86277770996094,27.8054141998291,72.61939239501953,69.16071319580078,122.58870697021484,50.484474182128906,51.94892120361328,198.25233459472656,96.49358367919922,197.10238647460938,197.77999877929688,133.32228088378906,318.08221435546875,264.32415771484375,347.31976318359375,186.88455200195312,141.09849548339844,60.64009094238281,137.95513916015625,367.1239318847656
2020-01-06,121.71073150634766,27.76970863342285,72.92975616455078,69.70651245117188,123.04458618164062,50.64530944824219,52.4119758605957,199.773681640625,97.34937286376953,199.57571411132812,198.586669921875,133.7201690673828,320.3681335449219,266.15911865234375,352.7362365722656,190.3246307373047,141.6326141357422,60.879127502441406,137.15780639648438,369.6896057128906
2020-01-07,122.45397186279297,27.67685890197754,70.98794555664062,69.30884552001953,123.27715301513672,51.40925216674805,51.98884201049805,197.89480590820312,97.01043701171875,197.13059997558594,194.26666259765625,135.0347442626953,322.18115234375,264.5523986816406,349.2331237792969,191.25357055664062,141.44183349609375,60.648345947265625,137.03733825683594,371.0719909667969
2020-01-08,122.43710327148438,27.89826774597168,70.51044464111328,69.80005645751953,124.3935317993164,51.352962493896484,52.53172302246094,198.0444793701172,98.71357727050781,198.1368865966797,193.92666625976562,135.1731719970703,322.6934509277344,270.1302490234375,356.97222900390625,194.45449829101562,142.37655639648438,59.89004135131836,138.67823791503906,380.3107604980469
2020-01-09,122.80029296875,27.776851654052734,71.13121032714844,70.33806610107422,126.4495620727539,52.63155746459961,52.563655853271484,198.63470458984375,100.31502532958984,199.02088928222656,195.26333618164062,136.36666870117188,324.7724304199219,268.5965881347656,346.9866027832031,193.9394073486328,140.60256958007812,60.05488586425781,137.7604217529297,381.35498046875
2020-01-10,122.52156066894531,28.20538902282715,71.25056457519531,69.44139862060547,128.38462829589844,52.454647064208984,51.9169807434082,198.07772827148438,100.52684783935547,197.15884399414062,199.57333374023438,136.75587463378906,323.9053955078125,269.4273681640625,346.61529541015625,193.4151153564453,141.28924560546875,59.43669509887695,139.0490264892578,379.3063049316406
2020-01-13,123.0621109008789,28.148256301879883,71.23464965820312,69.02035522460938,129.25914001464844,53.194461822509766,51.34217071533203,196.9636993408203,99.99304962158203,194.5632781982422,201.0399932861328,138.0099639892578,327.1470642089844,260.9555358886719,339.7234191894531,187.18809509277344,140.35458374023438,59.972476959228516,138.14979553222656,376.8399963378906
2020-01-14,123.75474548339844,28.619657516479492,71.56890869140625,69.6999740600586,130.85000610351562,53.42766571044922,51.25434494018555,199.5242919921875,99.171142578125,195.56959533691406,200.89666748046875,139.58407592773438,327.91571044921875,263.137451171875,340.0756530761719,188.73333740234375,141.06988525390625,60.854427337646484,137.51937866210938,385.4820556640625
2020-01-15,124.16861724853516,29.04819679260254,72.85018157958984,70.53764343261719,131.27796936035156,53.540252685546875,51.17451858520508,200.93760681152344,99.4168472290039,194.43162536621094,199.0800018310547,139.07374572753906,330.280517578125,270.59588623046875,346.5677185058594,191.52952575683594,140.44041442871094,62.04133605957031,137.34324645996094,388.5948181152344
2020-01-16,125.1737060546875,29.005348205566406,72.56367492675781,70.53764343261719,131.5756072998047,53.701072692871094,50.45599365234375,199.93991088867188,100.71326446533203,196.98016357421875,199.42999267578125,139.6878662109375,331.7978515625,274.548828125,349.4805908203125,194.0313720703125,140.93634033203125,62.68425369262695,137.9180145263672,383.443359375
2020-01-17,125.99298095703125,28.933927536010742,72.39656066894531,69.54191589355469,129.85455322265625,53.6528205871582,50.280357360839844,200.76295471191406,100.85730743408203,199.5287322998047,200.00999450683594,141.02845764160156,334.2120056152344,272.4764709472656,348.92852783203125,195.4754638671875,141.5372314453125,62.65951156616211,138.48353576660156,383.81134033203125
2020-01-20,,,,,,,,,,,,,,,,,,,,
2020-01-21,126.07745361328125,28.812501907348633,71.6007308959961,69.53401184082031,131.09188842773438,54.22377014160156,50.00094223022461,197.52903747558594,101.95037841796875,201.86093139648438,200.5500030517578,141.590576171875,332.3102722167969,274.3570556640625,347.3291931152344,195.91697692871094,140.4308624267578,61.4808464050293,138.5762176513672,361.70391845703125
2020-01-22,125.2159194946289,28.705364227294922,71.3460464477539,68.91761016845703,131.69656372070312,54.22377014160156,50.61567306518555,196.8223876953125,102.60279083251953,204.13673400878906,203.413330078125,141.6424560546875,335.05926513671875,274.41192626953125,348.138427734375,194.31649780273438,140.3354949951172,61.414451599121094,139.96685791015625,357.15911865234375
2020-01-23,125.45240783691406,29.076772689819336,70.4786148071289,67.38453674316406,131.37100219726562,53.77345275878906,51.04677963256836,195.40077209472656,102.50111389160156,203.33737182617188,205.0,140.52679443359375,330.4578857421875,273.3802490234375,346.10125732421875,195.64102172851562,139.90631103515625,61.016151428222656,138.60403442382812,354.6331787109375
2020-01-24,125.27507019042969,28.441097259521484,68.42537689208984,66.01741790771484,129.3800811767578,51.594207763671875,50.41609191894531,187.5445098876953,101.05219268798828,201.4659423828125,196.39999389648438,140.327880859375,328.78277587890625,267.30938720703125,339.7424621582031,189.48756408691406,136.81613159179688,59.27355194091797,137.01881408691406,343.3756103515625
