Date,AMZN,TSLA,HD,LOW,MCD,SBUX,NKE,TGT,BKNG,MAR,HLT,MGM,ROST,TJX,GM,F,ULTA,ORLY,AZO,PVH,TPR,CCL,RCL,EBAY,LULU
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,94.90049743652344,28.68400001525879,191.21824645996094,107.95742797851562,175.81350708007812,78.22174072265625,94.87516784667969,107.55437469482422,2045.08642578125,145.51358032226562,109.90135192871094,33.37964630126953,110.40071105957031,57.08141326904297,35.7018928527832,7.0279154777526855,254.5500030517578,29.167999267578125,1189.739990234375,104.41590118408203,23.538352966308594,50.718055725097656,131.47117614746094,32.79359817504883,233.4199981689453
2020-01-03,93.74849700927734,29.534000396728516,190.5826873779297,107.18668365478516,175.19178771972656,77.76648712158203,94.61521911621094,106.43675994873047,2036.11572265625,143.38119506835938,108.46163940429688,33.012725830078125,110.42904663085938,56.655845642089844,34.68946838378906,6.871241569519043,250.1699981689453,29.25,1187.97998046875,102.37417602539062,23.529611587524414,49.31443405151367,130.33856201171875,32.48644256591797,232.63999938964844
2020-01-06,95.14399719238281,30.1026668548584,191.47940063476562,107.85884857177734,177.1619110107422,77.15367126464844,94.53166198730469,105.4300537109375,2018.2926025390625,141.52734375,107.89957427978516,32.616050720214844,110.96768188476562,57.016658782958984,34.23102951049805,6.833938121795654,250.9499969482422,28.977333068847656,1165.7099609375,104.70333862304688,23.82678985595703,47.82185745239258,128.52249145507812,32.32382583618164,235.42999267578125
2020-01-07,95.34300231933594,31.270666122436523,190.225830078125,107.21356964111328,177.4246063232422,76.91730499267578,94.48524475097656,105.61775207519531,2038.6494140625,139.22203063964844,106.78526306152344,32.63589096069336,112.26229858398438,56.97964859008789,33.5720100402832,6.9010844230651855,253.08999633789062,28.584667205810547,1145.3800048828125,104.71327209472656,24.054048538208008,47.970123291015625,127.36058044433594,32.17927551269531,233.6999969482422
2020-01-08,94.59850311279297,32.80933380126953,193.07244873046875,108.91637420654297,180.296630859375,77.81026458740234,94.27174377441406,105.2765121459961,2033.5721435546875,140.94140625,107.69246673583984,32.96315002441406,112.5930404663086,57.284942626953125,33.09444808959961,6.9010844230651855,258.0,28.793333053588867,1147.489990234375,105.28813934326172,24.211376190185547,48.197471618652344,129.0985565185547,32.16121292114258,237.27000427246094
2020-01-09,95.05249786376953,32.089332580566406,196.03219604492188,109.38240814208984,182.43307495117188,79.25476837158203,94.20675659179688,105.36185455322266,2054.658203125,140.6724395751953,107.57414245605469,33.161476135253906,115.40901947021484,57.951045989990234,33.50515365600586,6.90854549407959,263.5,29.158000946044922,1145.3900146484375,102.38409423828125,23.931676864624023,48.63239669799805,130.75840759277344,31.781774520874023,235.89999389648438
2020-01-10,94.15799713134766,31.876667022705078,195.18777465820312,108.44137573242188,181.4874725341797,78.93083953857422,93.66832733154297,106.41117858886719,2057.23095703125,139.65426635742188,107.09095764160156,32.93338394165039,114.0766372680664,57.67350769042969,33.09444808959961,6.9010844230651855,267.2799987792969,29.123332977294922,1132.219970703125,99.58909606933594,23.97538185119629,48.286434173583984,130.04562377929688,31.519794464111328,234.83999633789062
2020-01-13,94.56500244140625,34.990665435791016,194.42173767089844,108.48619842529297,180.822021484375,79.73626708984375,94.83800506591797,105.67747497558594,2050.921875,141.0086669921875,107.7713623046875,33.09206008911133,113.36790466308594,57.840030670166016,33.40963363647461,6.893624305725098,275.70001220703125,29.03333282470703,1128.3699951171875,99.36113739013672,24.560997009277344,48.790550231933594,129.96754455566406,31.375247955322266,245.17999267578125
2020-01-14,93.47200012207031,35.861331939697266,193.9603729248047,107.60791015625,181.53123474121094,79.65745544433594,95.54352569580078,106.86334228515625,2042.0302734375,141.3448028564453,107.57414245605469,33.012725830078125,112.41349029541016,58.025054931640625,33.5720100402832,6.930928707122803,282.6199951171875,29.233999252319336,1136.5999755859375,99.01424407958984,25.024250030517578,49.63074493408203,129.81130981445312,31.935365676879883,243.77000427246094
2020-01-15,93.10099792480469,34.56666564941406,195.50987243652344,107.11500549316406,183.6764678955078,80.13897705078125,95.42286682128906,99.81645965576172,2035.800048828125,141.48892211914062,108.10665130615234,32.814388275146484,111.2889633178711,57.173927307128906,33.5720100402832,6.856321811676025,276.20001220703125,29.209999084472656,1134.2900390625,97.86451721191406,24.96306800842285,49.858089447021484,129.4890899658203,31.917295455932617,243.49000549316406
2020-01-16,93.89700317382812,34.232666015625,199.19215393066406,106.89095306396484,184.62213134765625,81.04944610595703,95.96129608154297,99.23633575439453,2025.5382080078125,143.1410675048828,110.04927062988281,33.736637115478516,111.5535659790039,58.10831832885742,33.95404815673828,6.841400623321533,277.0,29.404666900634766,1142.1199951171875,98.50875091552734,25.216541290283203,50.757591247558594,130.88536071777344,32.450294494628906,243.7100067138672
2020-01-17,93.23600006103516,34.03333282470703,201.88206481933594,109.66022491455078,185.611572265625,81.95991516113281,97.03816986083984,99.74820709228516,2025.47900390625,144.33209228515625,112.33702087402344,34.25231170654297,111.20393371582031,57.9880485534668,34.00179672241211,6.833938121795654,272.8900146484375,29.3786678314209,1154.5799560546875,100.054931640625,25.251502990722656,51.30125045776367,131.86172485351562,32.359962463378906,241.25
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,
