Date,LIN,APD,ECL,SHW,PPG,MLM,VMC,NUE,STLD,FCX,ALB,DD
2020-01-01,,,,,,,,,,,,
2020-01-02,194.09765625,201.2783203125,178.92588806152344,180.7235870361328,117.05573272705078,265.7769470214844,135.5840606689453,49.221923828125,30.151094436645508,12.3084716796875,67.50128936767578,23.59805679321289
2020-01-03,189.05035400390625,196.8023681640625,178.0699920654297,178.3849334716797,115.35684967041016,264.9889831542969,134.99505615234375,48.57004928588867,29.61587142944336,11.935489654541016,66.53445434570312,23.100080490112305
2020-01-06,188.24911499023438,196.7152862548828,176.55564880371094,178.05625915527344,114.82313537597656,265.8058166503906,134.75755310058594,48.159271240234375,29.526657104492188,11.982110977172852,66.4600830078125,22.936565399169922
2020-01-07,188.65435791015625,197.55126953125,176.3299102783203,177.09234619140625,113.92477416992188,265.2100524902344,133.23753356933594,48.052101135253906,30.177858352661133,12.168604850769043,67.33394622802734,22.583528518676758
2020-01-08,191.01214599609375,198.62234497070312,176.39573669433594,179.91134643554688,114.21831512451172,266.1132507324219,134.301513671875,47.93601608276367,30.204608917236328,12.289822578430176,66.17188262939453,22.85481071472168
2020-01-09,192.3568878173828,203.33338928222656,178.74720764160156,178.75787353515625,114.44068908691406,266.73779296875,135.18504333496094,47.77528381347656,29.91915512084961,12.084681510925293,67.62213134765625,22.650419235229492
2020-01-10,192.56871032714844,202.02723693847656,177.70314025878906,179.21923828125,113.93368530273438,266.0268249511719,136.00204467773438,47.123390197753906,29.16092300415039,12.028735160827637,67.02714538574219,22.189603805541992
2020-01-13,195.07394409179688,206.2593536376953,180.03578186035156,181.67483520507812,114.93876647949219,261.49163818359375,135.10899353027344,47.65918731689453,29.66046714782715,12.61618423461914,70.52262115478516,22.446027755737305
2020-01-14,193.37921142578125,204.22166442871094,178.6719512939453,181.55157470703125,115.57029724121094,250.5381317138672,132.43003845214844,48.22178268432617,29.981595993041992,12.363485336303711,72.67938995361328,22.360551834106445
2020-01-15,194.7423553466797,205.0402069091797,180.07339477539062,184.7403564453125,116.29080963134766,251.9216766357422,132.67701721191406,47.7127685546875,29.46422004699707,12.148223876953125,74.48290252685547,22.721031188964844
2020-01-16,196.23443603515625,205.3101806640625,181.53128051757812,184.87307739257812,113.3288345336914,252.7096405029297,132.8765106201172,47.64132308959961,29.40177345275879,12.026554107666016,74.76177215576172,22.929140090942383
2020-01-17,197.19227600097656,206.3812255859375,183.9579620361328,187.8722381591797,114.28948211669922,256.29351806640625,134.05453491210938,48.052101135253906,29.62478256225586,12.045272827148438,75.2080078125,22.87710952758789
2020-01-20,,,,,,,,,,,,
2020-01-21,195.0094451904297,206.5380096435547,183.9203643798828,187.4266357421875,111.976806640625,257.2735900878906,134.69105529785156,46.75725555419922,28.474048614501953,11.483722686767578,75.59846496582031,22.958871841430664
2020-01-22,194.4107666015625,207.28683471679688,184.729248046875,187.3855743408203,112.21697235107422,254.84266662597656,134.6150360107422,46.408992767333984,28.607858657836914,11.530516624450684,75.65422058105469,22.587244033813477
2020-01-23,193.0660858154297,206.63380432128906,186.516357421875,188.5264434814453,112.30592346191406,257.3793029785156,135.43203735351562,46.2125358581543,28.21535301208496,11.202947616577148,76.13765716552734,22.498056411743164
2020-01-24,193.40689086914062,212.43338012695312,186.24356079101562,187.98916625976562,111.90567016601562,253.55514526367188,133.4940643310547,44.944488525390625,27.430355072021484,11.081277847290039,75.46831512451172,22.070688247680664
2020-01-27,188.70040893554688,203.3072967529297,185.0584716796875,184.64871215820312,109.37061309814453,249.37547302246094,131.93605041503906,43.91753387451172,27.064620971679688,10.20151424407959,73.38590240478516,21.327444076538086
2020-01-28,191.46347045898438,205.90235900878906,186.4034881591797,186.7914276123047,110.3223648071289,255.15005493164062,134.23504638671875,44.176509857177734,27.38575553894043,10.575882911682129,74.55726623535156,21.531827926635742
2020-01-29,191.785888671875,206.6164093017578,186.0554962158203,186.541748046875,109.77979278564453,250.44198608398438,132.37303161621094,42.917381286621094,27.002178192138672,10.566522598266602,75.05000305175781,21.438928604125977
2020-01-30,191.785888671875,210.22152709960938,187.626220703125,179.79127502441406,109.5040512084961,256.2550354003906,135.27052307128906,43.63178253173828,27.16274642944336,10.594596862792969,75.09647369384766,19.591957092285156
2020-01-31,187.088623046875,207.870361328125,184.45651245117188,176.02734375,106.59542846679688,253.46865844726562,134.54855346679688,42.40837860107422,26.65427589416504,10.388696670532227,74.63162994384766,19.019664764404297
2020-02-03,192.90028381347656,211.61477661132812,189.55442810058594,181.69064331054688,107.9296646118164,261.7030029296875,137.32254028320312,42.810218811035156,26.770244598388672,10.706911087036133,75.10575103759766,19.253786087036133
2020-02-04,196.63967895507812,215.16769409179688,191.36032104492188,185.50198364257812,108.98815155029297,261.76068115234375,137.31304931640625,43.61391830444336,26.70780372619629,11.268461227416992,84.06751251220703,19.584531784057617
2020-02-05,199.62379455566406,217.94558715820312,194.04098510742188,184.07034301757812,111.06063842773438,266.3439025878906,140.9895477294922,44.221153259277344,26.86836814880371,11.614751815795898,81.41802215576172,20.097373962402344
2020-02-06,199.63302612304688,218.6248016357422,194.80282592773438,183.89968872070312,110.61592102050781,263.4421691894531,139.6785125732422,43.80145263671875,26.270702362060547,11.530516624450684,80.83234405517578,19.997032165527344
2020-02-07,197.24757385253906,217.63206481933594,193.4202117919922,180.94482421875,109.05931854248047,263.36529541015625,140.33401489257812,42.792354583740234,25.887117385864258,11.043841361999512,76.73262023925781,19.528785705566406
