Date,PLD,AMT,CCI,SPG,O,PSA,WELL,EQIX
2020-01-01,,,,,,,,
2020-01-02,75.46168518066406,195.52235412597656,110.26644134521484,105.05039978027344,52.38096618652344,165.94589233398438,66.91514587402344,518.2677612304688
2020-01-03,76.3067855834961,195.61647033691406,110.87347412109375,105.23863983154297,53.32767105102539,167.73550415039062,68.09243774414062,523.4293823242188
2020-01-06,76.00801086425781,195.56512451171875,109.93954467773438,105.78893280029297,53.5950927734375,168.33203125,69.1278076171875,522.8568725585938
2020-01-07,75.5214614868164,191.39796447753906,108.0794448852539,104.58702850341797,53.60955047607422,167.66482543945312,68.67692565917969,520.531005859375
2020-01-08,75.93115997314453,193.0579833984375,108.53085327148438,105.27484893798828,53.855262756347656,167.9709930419922,68.69364166259766,522.24853515625
2020-01-09,75.93972778320312,193.78529357910156,109.15348815917969,104.42774200439453,52.93745040893555,168.0415802001953,68.852294921875,526.8912353515625
2020-01-10,76.3494644165039,197.49037170410156,110.8267822265625,104.83321380615234,53.291561126708984,169.39950561523438,69.13617706298828,531.3731079101562
2020-01-13,78.36405944824219,201.43507385253906,111.51943969726562,105.1952133178711,54.17325210571289,170.1529998779297,70.19658660888672,532.2318725585938
2020-01-14,77.36530303955078,200.18577575683594,110.47653198242188,106.52745056152344,54.17325210571289,169.7841033935547,70.16321563720703,524.6637573242188
2020-01-15,78.71406555175781,201.40939331054688,112.1109619140625,106.50572967529297,54.91041564941406,171.3068084716797,70.93136596679688,524.4312744140625
2020-01-16,79.68718719482422,198.72256469726562,113.02930450439453,107.54834747314453,55.03325653076172,172.69610595703125,72.26734924316406,532.375
2020-01-17,80.47254943847656,199.7322540283203,113.04487609863281,106.9908218383789,55.177799224853516,173.2691192626953,72.13374328613281,526.0057373046875
2020-01-20,,,,,,,,
2020-01-21,81.582275390625,202.56454467773438,115.34856414794922,107.96102905273438,56.16787338256836,174.76043701171875,73.31107330322266,527.7948608398438
2020-01-22,80.19085693359375,201.22119140625,115.72212219238281,105.71651458740234,55.56807327270508,173.4574737548828,71.80810546875,529.1635131835938
2020-01-23,81.69325256347656,203.50576782226562,116.57047271728516,106.61432647705078,55.82100296020508,175.19212341308594,72.84346771240234,533.1712646484375
2020-01-24,82.07737731933594,203.24053955078125,116.66385650634766,104.85492706298828,55.741493225097656,176.18896484375,72.6013412475586,529.5482177734375
2020-01-27,81.08717346191406,203.19772338867188,116.97518157958984,102.54523468017578,55.93662643432617,176.02410888671875,72.53455352783203,531.328369140625
2020-01-28,81.57374572753906,202.94960021972656,118.08810424804688,101.35782623291016,56.46420669555664,175.6473846435547,72.434326171875,539.03955078125
2020-01-29,82.37616729736328,199.7493896484375,116.00232696533203,101.38677978515625,56.471439361572266,174.31301879882812,72.25064086914062,539.137939453125
2020-01-30,82.12860107421875,201.25538635253906,117.62117004394531,98.79473876953125,57.078487396240234,175.89854431152344,71.30712890625,539.4243774414062
2020-01-31,79.2859878540039,198.29473876953125,116.61717224121094,96.4054183959961,56.83420944213867,175.63168334960938,70.8979721069336,527.5532836914062
2020-02-03,78.42382049560547,200.2884521484375,116.11128997802734,96.15201568603516,56.68199920654297,175.9613494873047,70.52222442626953,539.9608154296875
2020-02-04,79.74696350097656,203.1806640625,117.09193420410156,99.40290069580078,56.76899337768555,175.15292358398438,70.93136596679688,543.7626953125
2020-02-05,79.1664810180664,202.26504516601562,116.71057891845703,101.70536041259766,56.899444580078125,174.360107421875,70.1465072631836,537.86767578125
2020-02-06,79.48233032226562,203.48870849609375,117.1308364868164,101.98772430419922,57.37057113647461,175.84361267089844,70.69758605957031,540.0772094726562
2020-02-07,79.50794982910156,204.2930145263672,117.12309265136719,102.10357666015625,57.63153076171875,176.78550720214844,70.2467041015625,542.1078491210938
2020-02-10,80.80548095703125,208.52005004882812,119.01427459716797,103.58058166503906,58.04468536376953,177.71957397460938,71.07331085205078,547.502197265625
2020-02-11,82.12860107421875,217.57313537597656,125.32611083984375,102.87104797363281,57.029945373535156,177.67245483398438,70.88964080810547,548.879638671875
2020-02-12,82.62372589111328,219.2074737548828,127.02275848388672,100.76412200927734,56.747249603271484,178.3710479736328,71.69120025634766,557.4407958984375
2020-02-13,82.35054779052734,219.8235626220703,127.57530975341797,101.93299102783203,57.109649658203125,179.3992462158203,73.2275619506836,568.7213134765625
2020-02-14,83.27251434326172,219.26739501953125,129.17080688476562,102.12407684326172,58.16790771484375,182.7429962158203,74.58021545410156,580.26123046875
2020-02-17,,,,,,,,
2020-02-18,83.95541381835938,216.42649841308594,129.3575897216797,102.30789947509766,58.27665328979492,181.91094970703125,75.01441955566406,575.7347412109375
2020-02-19,83.46028900146484,212.29360961914062,128.88282775878906,100.72002410888672,57.74751663208008,171.73854064941406,73.26097106933594,575.85107421875
2020-02-20,84.46759033203125,211.8144073486328,129.9646453857422,103.30766296386719,59.37113952636719,174.54849243164062,73.49475860595703,580.0286254882812
2020-02-21,84.70659637451172,211.36090087890625,130.79739379882812,104.57209014892578,59.75529098510742,177.20936584472656,73.46102142333984,586.8271484375
2020-02-24,81.93226623535156,209.73516845703125,129.47433471679688,103.4914321899414,59.559600830078125,177.75877380371094,73.05623626708984,576.9066162109375
2020-02-25,78.27869415283203,210.616455078125,126.87487030029297,99.4482421875,58.653526306152344,173.3711395263672,69.96971893310547,567.690185546875
2020-02-26,77.90309143066406,207.6472930908203,126.61804962158203,97.20608520507812,57.81275177001953,179.1402130126953,68.07225799560547,565.76806640625
