Date,XOM,CVX,COP,EOG,SLB,HAL,DVN,OXY,MPC,VLO,PSX,KMI,WMB,EQT
2020-01-01,,,,,,,,,,,,,,
2020-01-02,53.661720275878906,92.91787719726562,52.56376647949219,64.14031982421875,35.149864196777344,22.255126953125,18.85811424255371,39.08842086791992,51.34819793701172,74.47023010253906,87.58642578125,14.665763854980469,17.046215057373047,9.676200866699219
2020-01-03,53.230308532714844,92.59649658203125,52.75649642944336,64.78827667236328,35.49113082885742,22.327266693115234,19.084800720214844,40.033958435058594,48.295997619628906,71.64427185058594,84.6902847290039,14.777292251586914,17.118785858154297,9.657522201538086
2020-01-06,53.63901138305664,92.28276062011719,53.38282775878906,67.41822814941406,35.7186393737793,22.895362854003906,19.311473846435547,41.35588073730469,48.28770446777344,71.65209197998047,84.15946197509766,14.833054542541504,17.3437442779541,9.769601821899414
2020-01-07,53.20003128051758,91.10435485839844,53.38282775878906,68.0661849975586,35.53488540649414,22.246112823486328,19.369972229003906,41.55783462524414,49.050750732421875,72.59146881103516,84.41705322265625,14.867904663085938,17.3437442779541,9.610823631286621
2020-01-08,52.39775848388672,90.06369018554688,52.14622497558594,66.57966613769531,34.48484802246094,21.687028884887695,18.682626724243164,41.29161071777344,48.53651809692383,72.87326049804688,81.26333618164062,14.749409675598145,17.075246810913086,8.527386665344238
2020-01-09,52.798885345458984,89.91830444335938,53.0536003112793,67.27338409423828,34.87860870361328,21.813274383544922,18.901992797851562,41.649627685546875,49.25809860229492,74.50940704345703,82.44989013671875,15.02125358581543,17.176836013793945,8.41530704498291
2020-01-10,52.329627990722656,89.09953308105469,52.53165817260742,65.76400756835938,34.85235595703125,21.71407699584961,18.35357666015625,42.13618087768555,49.94651412963867,75.84800720214844,81.86442565917969,14.99337387084961,17.053476333618164,8.256529808044434
2020-01-13,52.82917022705078,89.26789093017578,52.298789978027344,65.19230651855469,34.32734298706055,21.416505813598633,18.5436954498291,42.75122833251953,49.44886779785156,75.3470230102539,82.20011138916016,15.02125358581543,17.256664276123047,7.817549705505371
2020-01-14,52.37503433227539,88.99241638183594,52.30680847167969,65.80976867675781,34.58985137939453,21.58783531188965,19.179851531982422,43.366302490234375,49.6313362121582,74.68161010742188,83.04315948486328,14.95851993560791,17.300203323364258,8.041708946228027
2020-01-15,52.291786193847656,88.86234283447266,52.194400787353516,66.1222915649414,33.53982162475586,21.25418472290039,19.187164306640625,43.38466262817383,48.21306228637695,72.22354125976562,81.88003540039062,14.923664093017578,17.2784366607666,7.901607990264893
2020-01-16,52.087440490722656,89.44387817382812,52.25060272216797,66.55673217773438,33.9335823059082,21.47060775756836,19.333412170410156,42.843021392822266,47.71541976928711,72.00434875488281,81.02132415771484,14.895787239074707,17.445341110229492,7.985669136047363
2020-01-17,51.890655517578125,88.44146728515625,52.25060272216797,65.24887084960938,33.5748291015625,21.605867385864258,18.901992797851562,42.071922302246094,47.184608459472656,71.4094009399414,80.6466293334961,14.88881778717041,17.314720153808594,7.696129322052002
2020-01-20,,,,,,,,,,,,,,
2020-01-21,51.148921966552734,86.70448303222656,51.41550064086914,64.27749633789062,32.33228302001953,21.434539794921875,18.27314567565918,40.68574142456055,46.595726013183594,70.65007019042969,79.88941192626953,14.589091300964355,16.697887420654297,7.173090934753418
2020-01-22,50.8537483215332,86.3907470703125,50.59645462036133,63.55089569091797,32.09602737426758,21.578819274902344,17.768600463867188,39.740203857421875,46.421546936035156,70.1568832397461,79.51473236083984,14.609997749328613,16.42938804626465,6.911572456359863
2020-01-23,50.535865783691406,86.54378509521484,50.70083236694336,62.58719253540039,31.877262115478516,21.263208389282227,17.841726303100586,39.03333282470703,45.890743255615234,70.0707778930664,79.68646240234375,15.167634963989258,16.284250259399414,6.65005350112915
2020-01-24,50.19527816772461,85.58728790283203,50.283287048339844,61.072792053222656,31.29975128173828,20.83037567138672,17.512678146362305,38.7579345703125,45.19404220581055,69.87507629394531,78.31255340576172,15.028219223022461,16.102834701538086,6.211075305938721
2020-01-27,48.999427795410156,84.4700927734375,49.01456832885742,58.6176643371582,29.715946197509766,19.522830963134766,16.540159225463867,37.85829544067383,43.70941925048828,66.57937622070312,75.6584243774414,14.840019226074219,15.681943893432617,6.155035018920898
2020-01-28,48.93132019042969,85.02870178222656,49.12697982788086,58.93124771118164,29.715946197509766,19.910585403442383,16.6132755279541,37.82157897949219,43.90017318725586,67.28392028808594,75.47886657714844,14.95851993560791,15.70370864868164,6.239095687866211
2020-01-29,48.52260208129883,84.4548110961914,48.57291030883789,57.47038650512695,29.514686584472656,19.504802703857422,16.225732803344727,37.15143966674805,44.44757843017578,67.68315124511719,74.78413391113281,14.7703218460083,15.355381965637207,5.688038349151611
2020-01-30,49.03727722167969,85.2429428100586,48.89412307739258,57.990482330322266,29.78594970703125,19.793359756469727,16.445100784301758,37.2615966796875,45.07793045043945,69.03742218017578,75.26029968261719,14.93064022064209,15.43520736694336,5.78143835067749
2020-01-31,47.016441345214844,81.98320770263672,47.72174072265625,55.76479721069336,29.322187423706055,19.667112350463867,15.882059097290039,36.46293640136719,45.20234680175781,66.00006103515625,71.3259506225586,14.719058990478516,15.014309883117676,5.65067720413208
2020-02-03,45.96440505981445,81.32512664794922,47.52100372314453,54.586936950683594,29.278438568115234,19.387575149536133,15.487203598022461,36.79341506958008,43.17860412597656,62.821800231933594,69.45243835449219,14.676737785339355,15.32635498046875,5.5105791091918945
