Asset,Weight
GIS,0.2596200875423544
KR,0.19653673138854316
ROP,0.19268077477957948
BK,0.1349505474983024
PEP,0.07315448859749199
CAT,0.05672098413633161
WMT,0.045036135004021004
COST,0.0297275230910523
ORCL,0.006431338749465614
EL,0.005141389212858216
