Rendement,Risque,Couts
0.2526497330534462,0.23768042255659974,0.0076150518188709835
0.37948867714722045,0.2765939970244416,0.01
0.440820105818702,0.2931137202610136,0.01
0.2399206738216467,0.2034309667241613,0.008048095058612176
0.32922921943878525,0.20247060995364632,0.00940565368805564
0.19035555942843563,0.22108284105497425,0.006166837224561055
0.26844686153511776,0.18222677541955382,0.009999999999999998
0.0951865564180056,0.16861552717940825,0.008121095685210435
0.24121983103617217,0.17110003102398658,0.01
0.24218194320340602,0.1956032676441342,0.009306129250989698
0.15293636694898358,0.1904517574516544,0.008
0.3412793125847905,0.23047112636576333,0.01
0.2304701791583929,0.18093059458861532,0.009999999999999998
0.17171067193736836,0.19166668781745375,0.008
0.2832559024195515,0.26182618432585697,0.007654298394807306
0.3686064438201785,0.24801936506175323,0.010000000000000002
0.3238583973946876,0.217383297519076,0.008820435181945516
0.27375443238559233,0.18419589242836143,0.01
0.33228394291354696,0.28382599447963786,0.008
0.1632080908049061,0.14926811411195232,0.009268455114025081
0.1712329375024876,0.1702310793711862,0.009663297289238875
0.21896143960302178,0.16974248361018646,0.009919222394812122
0.4297045265153012,0.2890801630307413,0.01
